Title,Neighborhood,Total Area,Useful Area,Bedrooms,Bathrooms,Garage,Rent,Condo Fee,Link
,Jardim Oriental,50.0,,1.0,1.0,0,R$ 650,,
,Parque Alves de Lima,12.0,,1.0,1.0,0,R$ 650,,
,Aclimação,25.0,,1.0,1.0,0,R$ 670,R$ 650 Condominio,
,Vila Maria,30.0,,1.0,1.0,0,R$ 680,R$ 175 Condominio,
,Vila Laís,20.0,,1.0,1.0,0,R$ 690,,
,Parque Cocaia,25.0,,1.0,1.0,0,R$ 690,,
,Alto da Lapa,11.0,,1.0,1.0,0,R$ 700,,
,Mandaqui,20.0,,1.0,1.0,0,R$ 700,R$ 350 Condominio,
,Vila Água Funda,14.0,,1.0,1.0,0,R$ 700,,
,Centro,59.0,,1.0,1.0,0,R$ 700,R$ 780 Condominio,
,Alto da Lapa,18.0,,1.0,1.0,0,R$ 700,,
,Altos de Vila Prudente,20.0,,1.0,1.0,0,R$ 700,,
,Centro,29.0,,1.0,1.0,0,R$ 700,R$ 375 Condominio,
,Jardim Independência,500.0,,1.0,1.0,0,R$ 700,R$ 120 Condominio,
,Campos Elíseos,35.0,,,1.0,0,R$ 700,R$ 475 Condominio,
,Raposo Tavares,40.0,,1.0,1.0,0,R$ 700,R$ 50 Condominio,
,Jardim Oriental,54.0,,1.0,1.0,0,R$ 700,,
,Santa Efigênia,30.0,,1.0,1.0,0,R$ 700,R$ 314 Condominio,
,Santa Efigênia,40.0,,1.0,1.0,0,R$ 700,R$ 527 Condominio,
,Santa Efigênia,40.0,,1.0,1.0,0,R$ 700,R$ 547 Condominio,
,Jardim Promissão,16.0,,1.0,1.0,0,R$ 700,R$ 50 Condominio,
,Vila Nair,13.0,,1.0,1.0,0,R$ 700,R$ 250 Condominio,
,Centro,52.0,,1.0,1.0,0,R$ 700,R$ 449 Condominio,
,Cidade Tiradentes,46.0,,2.0,1.0,0,R$ 700,R$ 145 Condominio,
,Cidade Tiradentes,46.0,,2.0,1.0,0,R$ 700,,
,Cidade São Mateus,20.0,,1.0,1.0,0,R$ 700,,
,Vila Brasilina,25.0,,1.0,1.0,0,R$ 704,R$ 100 Condominio,
,Casa Verde Alta,35.0,,1.0,1.0,0,R$ 720,,
,Jardim Japão,18.0,,1.0,1.0,0,R$ 720,R$ 217 Condominio,
,Campo Belo,179.0,,1.0,,1,R$ 722,R$ 2.900 Condominio,
,Jardim Nossa Senhora do Carmo,35.0,,1.0,1.0,0,R$ 725,,
,Jardim Vergueiro,24.0,,1.0,1.0,0,R$ 730,,
,Jardim São Vicente,,,1.0,1.0,0,R$ 730,,
,Vila Cosmopolita,50.0,,1.0,1.0,0,R$ 735,,
,Centro,40.0,,1.0,1.0,0,R$ 740,R$ 800 Condominio,
,Vila Cosmopolita,42.0,,1.0,1.0,0,R$ 747,R$ 50 Condominio,
,Centro,37.0,,1.0,1.0,0,R$ 750,R$ 412 Condominio,
,Casa Verde Alta,35.0,,1.0,1.0,0,R$ 750,,
,Vila Cosmopolita,38.0,,1.0,1.0,0,R$ 750,R$ 50 Condominio,
,Sé,30.0,,1.0,1.0,0,R$ 750,R$ 399 Condominio,
,Parque Císper,40.0,,1.0,1.0,0,R$ 750,R$ 250 Condominio,
,Mirandópolis,12.0,,1.0,1.0,0,R$ 750,R$ 300 Condominio,
,Sé,40.0,,1.0,1.0,0,R$ 750,R$ 702 Condominio,
,Centro,26.0,,1.0,1.0,0,R$ 750,R$ 430 Condominio,
,Sé,40.0,,1.0,1.0,0,R$ 750,R$ 702 Condominio,
,Vila Formosa,78.0,,2.0,1.0,0,R$ 750,R$ 760 Condominio,
,Consolação,35.0,,1.0,1.0,0,R$ 750,R$ 449 Condominio,
,Santa Efigênia,45.0,,1.0,1.0,0,R$ 750,R$ 515 Condominio,
,Cangaíba,35.0,,1.0,1.0,0,R$ 750,,
,Cangaíba,35.0,,1.0,1.0,0,R$ 750,,
,Conjunto Habitacional Barro Branco II,47.0,,2.0,1.0,1,R$ 750,,
,Liberdade,31.0,,1.0,1.0,0,R$ 758,R$ 420 Condominio,
,Centro,50.0,,2.0,1.0,1,R$ 759,R$ 300 Condominio,
,Vila Pereira Barreto,30.0,,1.0,1.0,0,R$ 760,R$ 425 Condominio,
,Parque Reboucas,30.0,,1.0,1.0,0,R$ 760,R$ 425 Condominio,
,República,35.0,,1.0,1.0,0,R$ 765,R$ 670 Condominio,
,Sé,33.0,,1.0,1.0,0,R$ 770,R$ 399 Condominio,
,Vila Pereira Barreto,30.0,,1.0,1.0,0,R$ 780,R$ 425 Condominio,
,Jardim Peri,30.0,,1.0,1.0,0,R$ 780,R$ 425 Condominio,
,Chácara Califórnia,12.0,,1.0,1.0,0,R$ 780,,
,Vila Pereira Barreto,33.0,,1.0,1.0,0,R$ 785,R$ 425 Condominio,
,Santa Efigênia,48.0,,1.0,1.0,0,R$ 790,R$ 605 Condominio,
,Jardim Japão,25.0,,1.0,1.0,0,R$ 790,R$ 215 Condominio,
,Liberdade,45.0,,1.0,1.0,0,R$ 790,R$ 450 Condominio,
